batter,batter_name,pitch_type,pitches_seen,swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_attack_direction,avg_swing_path_tilt,whiff_rate,called_strike_rate,hard_hit_rate,contact_swings,avg_launch_speed,avg_launch_angle,avg_xwoba,outside_zone_pitches,chases,batter_chase_rate
455117,"Gallen, Zac",FF,191,89,67.104,6.819,9.145,-2.445,30.886,0.152,0.241,0.073,54,82.311,19.889,0.295,75,22,0.293
455117,"Gallen, Zac",SI,96,45,64.136,6.345,2.927,9.247,33.054,0.052,0.281,0.094,37,77.595,9.784,0.237,31,12,0.387
455117,"Gallen, Zac",SL,94,43,63.188,7.47,14.565,-14.823,32.801,0.213,0.202,0.032,21,73.2,3.762,0.215,48,17,0.354
456781,"Skubal, Tarik",CH,93,48,65.035,7.461,15.765,-11.121,36.331,0.172,0.065,0.011,29,79.945,14.552,0.18,57,19,0.333
456781,"Skubal, Tarik",FC,64,31,65.793,6.918,8.303,0.018,33.274,0.109,0.234,0.094,21,85.31,18.19,0.304,30,12,0.4
456781,"Skubal, Tarik",FF,225,113,63.007,6.321,1.204,10.489,30.906,0.098,0.218,0.089,86,85.508,27.14,0.252,103,36,0.35
456781,"Skubal, Tarik",SI,113,56,65.752,6.51,2.232,5.687,34.178,0.035,0.204,0.106,49,85.11,14.408,0.37,40,9,0.225
456781,"Skubal, Tarik",SL,90,51,64.286,7.118,12.41,-5.794,35.226,0.2,0.122,0.044,32,75.728,15.875,0.205,49,21,0.429
457705,"Peralta, Freddy",CH,156,70,69.125,7.931,17.982,-5.987,34.495,0.09,0.115,0.083,52,80.485,5.865,0.346,82,18,0.22
457705,"Peralta, Freddy",CU,140,60,66.397,8.095,18.301,-12.71,34.081,0.143,0.157,0.057,38,81.768,11.667,0.193,78,18,0.231
457705,"Peralta, Freddy",FC,191,68,68.555,7.548,13.085,2.291,34.175,0.089,0.236,0.026,47,77.736,22.298,0.355,96,15,0.156
457705,"Peralta, Freddy",FF,646,350,70.815,7.355,12.525,4.651,33.708,0.096,0.141,0.122,265,85.703,27.491,0.354,267,67,0.251
457705,"Peralta, Freddy",SI,415,197,71.829,7.421,11.344,5.48,36.186,0.084,0.173,0.104,143,84.581,6.438,0.384,176,31,0.176
457705,"Peralta, Freddy",SL,409,156,66.181,7.952,15.438,-6.07,34.56,0.144,0.176,0.042,85,81.336,10.094,0.335,213,35,0.164
457705,"Peralta, Freddy",ST,216,89,66.862,8.165,18.7,-11.448,33.121,0.139,0.144,0.037,50,81.526,19.36,0.187,128,30,0.234
457759,"Abbott, Andrew",CH,77,35,67.314,7.023,15.853,-6.906,35.092,0.078,0.052,0.026,26,79.127,5.154,0.234,51,16,0.314
457759,"Abbott, Andrew",FF,363,172,62.859,5.825,3.537,10.814,32.646,0.088,0.174,0.05,128,82.1,34.938,0.278,158,35,0.222
457759,"Abbott, Andrew",SI,110,53,64.792,6.141,6.746,4.626,35.436,0.009,0.227,0.118,51,83.214,24.431,0.332,39,9,0.231
457759,"Abbott, Andrew",SL,91,49,65.376,6.826,11.645,-2.831,37.085,0.11,0.044,0.121,38,85.442,18.211,0.357,54,19,0.352
467793,"Abbott, Andrew",CH,245,108,70.002,8.1,15.837,-15.114,26.425,0.147,0.106,0.069,68,81.453,6.412,0.262,167,54,0.323
467793,"Abbott, Andrew",CU,187,60,67.654,8.024,17.61,-16.909,26.314,0.107,0.225,0.032,34,75.332,-7.853,0.22,106,22,0.208
467793,"Abbott, Andrew",FC,180,90,68.852,7.333,11.95,0.145,25.816,0.094,0.156,0.106,68,82.713,16.088,0.289,74,14,0.189
467793,"Abbott, Andrew",FF,613,313,70.191,7.169,9.322,4.383,25.112,0.072,0.142,0.103,252,84.036,28.135,0.291,260,56,0.215
467793,"Abbott, Andrew",FS,98,47,67.973,8.055,17.367,-14.416,28.647,0.133,0.061,0.071,30,83.433,6.533,0.302,66,21,0.318
467793,"Abbott, Andrew",SI,247,110,71.358,7.406,9.497,2.552,28.433,0.069,0.186,0.126,85,87.349,17.718,0.371,114,30,0.263
467793,"Abbott, Andrew",SL,226,96,67.911,7.923,16.239,-13.012,29.151,0.15,0.181,0.053,51,80.798,15.353,0.28,118,33,0.28
467793,"Abbott, Andrew",ST,122,44,67.343,7.798,13.889,-14.003,27.94,0.107,0.18,0.041,26,77.688,15.692,0.27,67,13,0.194
500743,"Luzardo, Jesús",CH,124,59,67.197,7.576,13.714,-19.163,33.508,0.121,0.089,0.073,40,78.977,6.756,0.32,68,14,0.206
500743,"Luzardo, Jesús",FC,94,43,66.136,6.926,4.427,-6.833,31.204,0.064,0.128,0.032,34,77.397,20.118,0.244,48,10,0.208
500743,"Luzardo, Jesús",FF,376,166,65.389,6.481,3.036,4.263,31.232,0.029,0.221,0.074,149,82.803,26.691,0.302,166,37,0.223
500743,"Luzardo, Jesús",SI,214,91,65.659,6.534,1.777,6.244,32.808,0.014,0.262,0.121,84,84.352,5.583,0.31,86,18,0.209
500743,"Luzardo, Jesús",SL,166,88,64.161,7.42,10.382,-13.556,32.273,0.169,0.181,0.084,58,79.129,6.034,0.325,90,38,0.422
500743,"Luzardo, Jesús",ST,89,38,61.314,7.083,7.538,-4.652,31.132,0.079,0.135,0.034,31,69.955,26.71,0.232,55,15,0.273
502054,"Gray, Sonny",CH,108,53,73.337,7.553,12.344,-10.423,27.791,0.111,0.12,0.083,35,84.491,-3.229,0.321,57,17,0.298
502054,"Gray, Sonny",CU,104,34,69.656,7.3,13.577,-11.24,27.138,0.087,0.26,0.058,23,82.365,-7.217,0.144,52,11,0.212
502054,"Gray, Sonny",FC,143,68,70.913,6.755,5.419,6.366,27.549,0.105,0.161,0.07,42,86.093,18.674,0.332,56,9,0.161
502054,"Gray, Sonny",FF,484,200,71.189,6.444,4.814,12.245,26.547,0.076,0.213,0.105,149,87.693,20.523,0.399,198,22,0.111
502054,"Gray, Sonny",SI,340,152,71.992,6.683,4.689,5.104,28.515,0.032,0.215,0.135,130,86.552,0.477,0.333,129,25,0.194
502054,"Gray, Sonny",SL,291,121,72.031,7.434,10.275,-8.961,27.738,0.127,0.216,0.076,75,83.081,2.493,0.281,136,38,0.279
502054,"Gray, Sonny",ST,156,65,72.052,7.46,11.306,-11.132,27.036,0.115,0.212,0.032,45,76.878,22.244,0.167,71,13,0.183
502671,"Crochet, Garrett",CH,186,102,71.509,8.062,14.289,-5.166,33.753,0.151,0.091,0.113,65,83.846,10.969,0.331,102,36,0.353
502671,"Crochet, Garrett",CU,96,31,71.583,7.843,10.166,-0.416,34.242,0.042,0.198,0.083,25,86.976,19.04,0.357,54,8,0.148
502671,"Crochet, Garrett",FC,231,100,71.681,7.624,9.931,2.602,30.397,0.078,0.203,0.095,73,86.211,17.836,0.386,108,25,0.231
502671,"Crochet, Garrett",FF,627,336,71.572,7.194,6.258,8.633,29.269,0.069,0.152,0.12,267,85.734,35.337,0.364,255,68,0.267
502671,"Crochet, Garrett",FS,76,46,71.509,8.011,14.862,-5.417,35.162,0.118,0.053,0.105,36,83.064,9.444,0.254,42,16,0.381
502671,"Crochet, Garrett",SI,342,200,71.972,7.271,5.795,8.93,34.057,0.082,0.184,0.132,158,84.644,18.709,0.33,150,70,0.467
502671,"Crochet, Garrett",SL,342,129,69.626,7.817,12.287,-0.446,31.839,0.123,0.231,0.061,79,84.392,17.418,0.291,180,37,0.206
502671,"Crochet, Garrett",ST,189,61,71.011,7.77,12.504,-3.469,31.708,0.085,0.19,0.048,41,85.295,17.78,0.296,106,16,0.151
514888,"Severino, Luis",CH,216,115,66.162,7.658,17.549,-14.583,30.339,0.093,0.157,0.083,89,80.394,6.656,0.194,107,41,0.383
