player_name,pitch_type,swings,avg_physics,avg_xwoba,whiff_rate,avg_launch_speed,avg_chase_deviation,outside_zone_pitches,raw_chase_rate,physics_z,chase_z,discomfort_score
"Abbott, Andrew",CH,239,-0.9479,0.2945,0.2301,76.5053,0.0291,287,0.3937,-1.4165,0.3493,-0.023
"Abbott, Andrew",FF,571,-0.2585,0.2782,0.1786,83.8398,0.0116,541,0.2532,-0.3831,0.0401,-0.0077
"Abbott, Andrew",ST,230,-0.0924,0.2534,0.3217,78.742,0.041,192,0.3438,-0.134,0.558,0.0124
"Abel, Mick",FF,153,-0.4077,0.3772,0.2353,82.0709,0.0415,126,0.2857,-0.6067,0.5668,0.0017
"Abreu, Bryan",FF,266,0.2595,0.2584,0.3308,83.4131,-0.0203,303,0.2211,0.3937,-0.5245,-0.0054
"Abreu, Bryan",SL,254,0.9774,0.2408,0.4567,82.8142,0.0559,306,0.3725,1.47,0.8225,0.0567
"Adam, Jason",CH,171,-0.4078,0.214,0.2982,83.4863,-0.0203,195,0.3282,-0.6069,-0.5231,-0.0285
"Adam, Jason",FF,106,-0.3683,0.2066,0.1981,83.8868,0.0984,146,0.3356,-0.5476,1.5724,0.0309
"Adam, Jason",SL,167,0.3991,0.299,0.3952,82.8522,0.0076,152,0.3224,0.6029,-0.0315,0.013
"Akin, Keegan",CH,100,-0.504,0.174,0.22,77.9167,0.0042,90,0.3222,-0.7511,-0.0919,-0.0199
"Akin, Keegan",FF,265,0.3239,0.3599,0.2189,83.6544,0.0549,233,0.2833,0.4901,0.8039,0.0335
"Akin, Keegan",SL,136,0.4943,0.3003,0.2353,77.9406,-0.0097,158,0.3101,0.7456,-0.3367,0.0079
"Alcala, Jorge",FF,238,-1.1646,0.2703,0.2731,85.2757,0.0246,221,0.267,-1.7415,0.2695,-0.0327
"Alcantara, Sandy",CH,332,-0.6034,0.2594,0.259,82.8954,0.0375,396,0.3687,-0.9002,0.4975,-0.007
"Alcantara, Sandy",FC,183,-0.8064,0.3292,0.2514,82.8712,0.0344,210,0.2952,-1.2045,0.4429,-0.0155
"Alcantara, Sandy",FF,251,-0.6043,0.2957,0.1474,85.5652,-0.0289,201,0.209,-0.9014,-0.6754,-0.0395
"Alcantara, Sandy",SI,342,-0.534,0.343,0.0936,84.7227,0.0103,220,0.2409,-0.796,0.0155,-0.0179
"Alcantara, Sandy",SL,200,-0.5566,0.3728,0.205,84.1859,-0.0655,251,0.2629,-0.83,-1.3222,-0.0557
"Alexander, Jason",CH,202,-0.1042,0.1954,0.3762,79.8888,0.0614,232,0.3836,-0.1517,0.9187,0.0219
"Alexander, Jason",SI,181,-0.6083,0.3365,0.0497,86.7689,-0.1459,152,0.0987,-0.9075,-2.7425,-0.0968
"Alexander, Tyler",CH,109,-0.2409,0.3267,0.2569,82.6676,0.0231,159,0.3648,-0.3566,0.2425,-0.0015
"Alexander, Tyler",FF,205,0.3243,0.3193,0.1659,81.5422,0.0243,171,0.269,0.4907,0.2638,0.0186
"Alexander, Tyler",SI,136,0.9764,0.2708,0.0956,77.6286,0.0513,95,0.2947,1.4684,0.7396,0.0543
"Alexander, Tyler",ST,136,-0.4278,0.3144,0.2647,80.24,-0.0713,146,0.2123,-0.6368,-1.4239,-0.0541
"Allard, Kolby",CH,102,-0.5139,0.2479,0.1471,82.5538,0.0007,102,0.3431,-0.7659,-0.153,-0.0219
"Allard, Kolby",FF,179,0.0504,0.2465,0.2514,83.1211,0.0225,145,0.269,0.0801,0.2311,0.0082
"Allen, Logan",CH,224,-0.2366,0.2899,0.1562,81.3188,-0.0222,253,0.332,-0.3501,-0.5575,-0.0235
"Allen, Logan",FF,389,-0.1709,0.3121,0.1722,83.1459,-0.0462,388,0.1881,-0.2517,-0.9812,-0.033
"Allen, Logan",SI,137,0.0298,0.2942,0.1022,80.7403,-0.0307,151,0.2252,0.0492,-0.7074,-0.0184
"Allen, Logan",ST,192,-0.968,0.2458,0.2604,78.8293,-0.0645,297,0.2458,-1.4468,-1.3043,-0.0695
"Alvarado, Elvis",FF,173,0.2049,0.1922,0.3584,82.7061,0.0209,186,0.2581,0.3117,0.2035,0.0128
"Alvarado, José",SI,119,1.0432,0.4198,0.0924,84.1863,-0.0474,101,0.1782,1.5685,-1.0019,0.0084
"Anderson, Grant",FF,193,-0.3847,0.1391,0.342,80.9202,0.0616,184,0.2989,-0.5722,0.9216,0.0123
"Anderson, Grant",SI,113,-0.0303,0.3726,0.0619,85.9419,-0.0863,105,0.181,-0.041,-1.6891,-0.0477
"Anderson, Grant",ST,183,0.0484,0.2439,0.3497,80.4519,0.0497,217,0.3548,0.0771,0.7117,0.0215
"Anderson, Tyler",CH,358,1.1997,0.2679,0.3911,78.8343,0.058,388,0.4046,1.8031,0.8586,0.0653
"Anderson, Tyler",FC,192,-0.3194,0.3154,0.1823,81.804,-0.0134,251,0.255,-0.4743,-0.4027,-0.0221
"Anderson, Tyler",FF,412,-0.9273,0.3527,0.1262,84.2289,-0.0069,375,0.2293,-1.3857,-0.2864,-0.0399
"Armstrong, Shawn",FC,124,-0.8675,0.2897,0.1694,81.6293,0.0292,100,0.3,-1.296,0.3495,-0.0202
"Armstrong, Shawn",FF,158,0.0625,0.2336,0.3038,81.9413,-0.0286,138,0.2101,0.0983,-0.6708,-0.0163
"Armstrong, Shawn",SI,110,0.1188,0.3184,0.0909,82.8802,-0.0476,87,0.2069,0.1827,-1.006,-0.0236
"Ashby, Aaron",SI,241,0.1275,0.3051,0.1452,84.1749,-0.0316,240,0.2125,0.1957,-0.7237,-0.0155
"Ashcraft, Braxton",FF,158,-0.0205,0.3164,0.1582,84.3815,-0.0034,138,0.2246,-0.0262,-0.2257,-0.0069
"Ashcraft, Braxton",SL,196,-1.2514,0.2327,0.301,79.873,0.0992,153,0.4248,-1.8717,1.5871,0.0008
"Ashcraft, Graham",FC,217,0.3767,0.3185,0.1797,82.7292,0.0096,247,0.2632,0.5694,0.0035,0.0132
"Ashcraft, Graham",SL,248,1.2916,0.18,0.375,78.7672,0.1522,265,0.483,1.9409,2.5223,0.1146
"Bachar, Lake",FF,197,-0.3734,0.3353,0.2284,85.9448,0.0268,167,0.2695,-0.5552,0.3073,-0.0043
"Bachar, Lake",SL,125,0.2331,0.269,0.368,84.2409,0.0482,145,0.3655,0.354,0.6863,0.0272
"Backhus, Kyle",SI,114,1.7048,0.2838,0.0965,82.9299,-0.016,93,0.2366,2.5605,-0.4476,0.0467
"Baker, Bryan",CH,131,-0.3952,0.2163,0.3282,78.875,-0.0594,137,0.2701,-0.588,-1.2138,-0.0471
"Baker, Bryan",FF,290,0.2199,0.3385,0.2345,84.8359,0.1066,234,0.3376,0.3342,1.7163,0.0552
"Baker, Bryan",SL,110,-0.5239,0.3809,0.2182,83.4402,-0.0474,128,0.2812,-0.7809,-1.0028,-0.0458
"Banda, Anthony",FF,140,0.8303,0.3492,0.2,85.0849,0.0687,108,0.3056,1.2493,1.0476,0.0578
"Banda, Anthony",SL,237,-0.204,0.21,0.3586,82.4308,-0.0051,320,0.3156,-0.3013,-0.2549,-0.014
"Banks, Tanner",FF,129,1.8576,0.2119,0.1705,79.0542,0.1368,83,0.3614,2.7896,2.2507,0.1266
"Banks, Tanner",SL,193,-0.2004,0.3066,0.228,78.9073,-0.0407,146,0.2808,-0.2959,-0.8847,-0.0313
"Barlow, Scott",FF,122,-0.4063,0.3189,0.1475,83.3143,-0.0092,125,0.224,-0.6046,-0.3277,-0.023
"Barlow, Scott",ST,136,0.0807,0.2195,0.3897,77.25,0.0367,185,0.3405,0.1255,0.4824,0.0162
"Barnett, Mason",FF,112,0.5044,0.3094,0.1518,83.9222,-0.0424,98,0.2041,0.7608,-0.9138,-0.0077
"Bassitt, Chris",CU,172,0.1282,0.1832,0.2907,76.069,-0.012,188,0.2819,0.1967,-0.3767,-0.0059
"Bassitt, Chris",FC,199,1.8165,0.2702,0.2915,82.0661,0.001,221,0.2624,2.7279,-0.1473,0.0588
"Bassitt, Chris",FF,134,1.4674,0.1715,0.2164,78.8809,0.017,149,0.2416,2.2045,0.1339,0.0545
"Bassitt, Chris",SI,524,0.2388,0.3521,0.1279,82.2308,0.0101,458,0.2598,0.3626,0.0133,0.0087
"Bautista, Félix",SI,153,-0.0174,0.2148,0.2288,84.804,-0.0226,175,0.2057,-0.0215,-0.5646,-0.0161
"Baz, Shane",CH,142,-0.8386,0.2305,0.2606,78.8103,-0.0561,156,0.2628,-1.2527,-1.1553,-0.0609
"Baz, Shane",FC,177,-0.1929,0.3028,0.2373,82.1246,0.0624,173,0.3237,-0.2847,0.9372,0.0194
"Baz, Shane",FF,565,0.5762,0.2788,0.2106,82.3493,0.0136,544,0.2592,0.8684,0.0755,0.0221
"Bazardo, Eduard",SI,216,-0.1142,0.2742,0.1574,83.1337,-0.0864,209,0.1675,-0.1667,-1.691,-0.0506
"Bazardo, Eduard",ST,209,-0.989,0.2888,0.201,81.5752,-0.0226,218,0.289,-1.4782,-0.5651,-0.0497
"Beck, Tristan",FF,112,-0.244,0.2654,0.1875,85.8455,-0.0658,112,0.1875,-0.3613,-1.3274,-0.0451
"Beck, Tristan",ST,111,-0.2545,0.2284,0.3153,80.6479,0.1573,99,0.4646,-0.377,2.6124,0.0636
"Bednar, David",FF,248,0.1151,0.3281,0.2016,84.19,0.0369,218,0.2706,0.177,0.4861,0.0175
"Beeks, Jalen",CH,150,-0.7764,0.173,0.3333,77.9511,-0.0055,206,0.3301,-1.1594,-0.2628,-0.034
"Beeks, Jalen",FF,238,-0.211,0.3429,0.1933,85.3736,-0.0671,191,0.1675,-0.3118,-1.351,-0.0446
"Bello, Brayan",CH,191,-0.8201,0.3031,0.2984,81.2924,-0.0063,272,0.3235,-1.2249,-0.2773,-0.0359
"Bello, Brayan",FC,181,-0.5671,0.3382,0.2431,85.3252,0.0048,156,0.2692,-0.8457,-0.0803,-0.0217
"Bello, Brayan",FF,210,0.0044,0.2514,0.1333,82.8458,0.0288,188,0.2553,0.0111,0.3437,0.0098
"Bello, Brayan",SI,375,-0.5711,0.3122,0.1067,85.6932,-0.0061,413,0.2349,-0.8516,-0.2738,-0.0272
"Bello, Brayan",ST,186,0.5363,0.3016,0.2688,80.3308,0.0027,250,0.312,0.8086,-0.1179,0.0154
"Bellozo, Valente",FC,193,-0.4033,0.3426,0.1554,81.9697,-0.0658,157,0.2102,-0.6001,-1.3269,-0.0506
"Bellozo, Valente",FF,185,0.067,0.4132,0.1243,82.9913,0.0139,172,0.2733,0.1049,0.0792,0.0046
"Bellozo, Valente",ST,109,-1.4917,0.2129,0.2294,80.2392,0.0249,98,0.3367,-2.2319,0.2739,-0.0439
"Bender, Anthony",ST,131,0.125,0.1933,0.2595,82.8856,-0.0323,145,0.2759,0.1919,-0.7357,-0.0159
"Bergert, Ryan",FF,267,-0.6357,0.309,0.1199,85.5833,0.0024,233,0.2232,-0.9485,-0.1239,-0.0253
"Bergert, Ryan",SL,142,-0.7951,0.2601,0.338,83.1047,-0.0266,180,0.2944,-1.1874,-0.6348,-0.0449
