player_name,pitch_type,swings,avg_dev_bat_speed_z,avg_dev_attack_angle_z,avg_dev_swing_path_tilt_z,avg_dev_attack_direction_z
"Cruz, Fernando",FS,140,0.7,0.18,-0.139,0.488
"Webb, Logan",FF,136,0.464,-0.031,0.081,0.196
"Hader, Josh",SL,162,0.444,0.333,0.067,0.476
"Miller, Mason",SL,194,0.44,0.22,0.052,0.475
"Smith, Shane",CU,118,0.436,-0.112,-0.153,-0.035
"Hurter, Brant",ST,113,0.425,0.251,-0.095,0.118
"Hoffman, Jeff",SL,174,0.423,-0.005,0.068,0.267
"Skenes, Paul",CH,166,0.395,0.337,-0.001,0.268
"Webb, Logan",FC,122,0.386,0.258,0.075,0.298
"Sale, Chris",SL,407,0.384,0.247,0.058,0.37
"Cantillo, Joey",CH,215,0.384,0.387,0.189,0.765
"Olson, Reese",SL,113,0.375,0.111,-0.151,0.057
"Maton, Phil",FC,145,0.346,0.3,0.151,0.507
"Rogers, Tyler",SL,106,0.342,-0.182,0.51,-0.085
"Megill, Tylor",SL,113,0.337,0.028,-0.075,-0.015
"Stanek, Ryne",SL,100,0.321,0.021,-0.072,0.025
"Martinez, Nick",CH,230,0.319,0.018,-0.037,0.115
"Uribe, Abner",SL,241,0.316,0.234,-0.034,0.148
"Banks, Tanner",FF,129,0.315,0.118,-0.02,0.308
"Borucki, Ryan",SL,108,0.315,0.021,0.022,0.122
"Helsley, Ryan",SL,235,0.31,0.053,-0.057,0.096
"Taillon, Jameson",CH,119,0.309,0.089,-0.058,0.106
"Pallante, Andre",SI,184,0.304,-0.013,0.225,0.088
"Bassitt, Chris",FC,199,0.302,0.047,0.119,0.428
"Quintana, Jose",FF,126,0.298,0.297,0.057,0.119
"Zerpa, Angel",FF,100,0.296,-0.014,0.105,0.04
"Backhus, Kyle",SI,114,0.294,0.055,0.232,0.235
"Whitlock, Garrett",CH,140,0.284,-0.019,-0.048,-0.076
"Taylor, Grant",FF,158,0.283,0.176,0.156,0.051
"Gilbert, Logan",FS,145,0.28,0.136,-0.057,0.212
"Fairbanks, Pete",SL,157,0.267,0.075,0.096,0.213
"Romero, JoJo",SI,116,0.265,0.289,-0.038,0.25
"Greene, Hunter",SL,295,0.26,-0.015,-0.054,0.109
"Coulombe, Danny",FC,142,0.258,0.18,0.172,0.111
"Leasure, Jordan",SL,219,0.254,0.01,-0.018,0.144
"Bassitt, Chris",FF,134,0.251,0.15,-0.146,0.251
"Díaz, Edwin",FF,243,0.249,0.012,0.053,0.05
"Treinen, Blake",ST,119,0.245,-0.085,-0.093,0.018
"Ferrer, José A.",CH,119,0.243,0.117,0.052,0.24
"Chafin, Andrew",SL,107,0.243,0.237,0.101,0.169
"Halvorsen, Seth",FF,140,0.238,0.257,-0.014,0.1
"Lodolo, Nick",FF,307,0.237,0.037,0.082,0.186
"Bird, Jake",ST,124,0.234,0.031,0.123,-0.079
"Gray, Sonny",ST,277,0.234,-0.037,0.176,-0.11
"Sterner, Justin",FC,149,0.23,-0.034,-0.026,0.058
"Ferguson, Caleb",FF,165,0.229,0.121,0.134,0.06
"Anderson, Tyler",CH,358,0.229,0.056,0.131,0.277
"Glasnow, Tyler",CU,156,0.227,0.001,0.052,0.022
"Cabrera, Edward",FF,112,0.226,0.118,-0.046,0.289
"Ferguson, Caleb",SI,108,0.225,0.06,-0.079,0.136
"Miller, Mason",FF,259,0.223,0.027,0.012,0.014
"Ashcraft, Graham",SL,248,0.222,0.193,-0.005,0.193
"Hamilton, Ian",SI,137,0.211,0.069,-0.029,0.108
"Mejia, Juan",ST,144,0.21,-0.074,-0.007,-0.024
"Peterson, David",FF,255,0.207,0.072,-0.04,0.095
"Schreiber, John",FF,164,0.203,-0.037,-0.088,0.008
"Quantrill, Cal",FF,122,0.201,0.002,-0.002,0.085
"Phillips, Tyler",ST,107,0.201,-0.037,0.022,-0.067
"Bowlan, Jonathan",FF,118,0.198,-0.035,0.036,0.045
"O'Brien, Riley",SI,145,0.197,-0.154,0.091,0.032
"deGrom, Jacob",CH,128,0.192,0.171,-0.017,0.05
"Alvarado, José",SI,119,0.189,-0.039,0.177,0.016
"Springs, Jeffrey",CH,364,0.188,-0.035,-0.027,0.092
"Palencia, Daniel",SL,109,0.186,0.002,-0.036,0.047
"Henriquez, Ronny",ST,148,0.185,0.013,-0.005,0.069
