pitch_type,n,variable,coef,std_err,p_value,significant_p05,r_squared
FF,107213,release_speed,0.00075,0.00041,0.07036,False,0.00071
FF,107213,release_spin_rate,-2e-05,1e-05,0.00512,True,0.00071
FF,107213,pfx_x,0.00996,0.00428,0.01998,True,0.00071
FF,107213,pfx_z,-0.02272,0.00409,0.0,True,0.00071
FF,107213,release_extension,-0.00024,0.00221,0.91277,False,0.00071
FF,107213,spin_axis,5e-05,9e-05,0.55288,False,0.00071
SL,47157,release_speed,-0.0027,0.00061,1e-05,True,0.00324
SL,47157,release_spin_rate,4e-05,1e-05,1e-05,True,0.00324
SL,47157,pfx_x,0.00684,0.00558,0.22021,False,0.00324
SL,47157,pfx_z,-0.04717,0.00568,0.0,True,0.00324
SL,47157,release_extension,0.00122,0.00404,0.76333,False,0.00324
SL,47157,spin_axis,9e-05,3e-05,0.00266,True,0.00324
SI,45977,release_speed,-0.00077,0.0006,0.19646,False,0.00071
SI,45977,release_spin_rate,0.0,1e-05,0.92565,False,0.00071
SI,45977,pfx_x,0.01206,0.00336,0.00034,True,0.00071
SI,45977,pfx_z,0.00393,0.00417,0.34491,False,0.00071
SI,45977,release_extension,-0.00266,0.00351,0.44787,False,0.00071
SI,45977,spin_axis,0.00016,9e-05,0.0699,False,0.00071
CH,33350,release_speed,-0.00412,0.00051,0.0,True,0.00239
CH,33350,release_spin_rate,-1e-05,1e-05,0.15801,False,0.00239
CH,33350,pfx_x,0.00063,0.00507,0.90118,False,0.00239
CH,33350,pfx_z,0.00131,0.00467,0.77937,False,0.00239
CH,33350,release_extension,0.00895,0.00403,0.02661,True,0.00239
CH,33350,spin_axis,9e-05,0.0001,0.37024,False,0.00239
FC,22229,release_speed,-0.00097,0.00086,0.26119,False,0.00119
FC,22229,release_spin_rate,-2e-05,1e-05,0.09888,False,0.00119
FC,22229,pfx_x,0.0025,0.00888,0.77828,False,0.00119
FC,22229,pfx_z,-0.03073,0.00773,7e-05,True,0.00119
FC,22229,release_extension,-0.00513,0.00598,0.39107,False,0.00119
FC,22229,spin_axis,0.00013,8e-05,0.12011,False,0.00119
ST,20189,release_speed,0.00521,0.001,0.0,True,0.00289
ST,20189,release_spin_rate,2e-05,1e-05,0.07296,False,0.00289
ST,20189,pfx_x,0.00175,0.00805,0.82754,False,0.00289
ST,20189,pfx_z,-0.01523,0.00802,0.05754,False,0.00289
ST,20189,release_extension,0.01829,0.00663,0.00582,True,0.00289
ST,20189,spin_axis,0.00018,8e-05,0.02092,True,0.00289
CU,15403,release_speed,0.00587,0.00099,0.0,True,0.00473
CU,15403,release_spin_rate,1e-05,1e-05,0.60252,False,0.00473
CU,15403,pfx_x,-0.0244,0.00835,0.00348,True,0.00473
CU,15403,pfx_z,0.0075,0.00852,0.37892,False,0.00473
CU,15403,release_extension,0.01208,0.00779,0.12099,False,0.00473
CU,15403,spin_axis,-3e-05,5e-05,0.54499,False,0.00473
FS,7388,release_speed,-0.00509,0.00124,4e-05,True,0.00644
FS,7388,release_spin_rate,-1e-05,1e-05,0.45175,False,0.00644
FS,7388,pfx_x,0.01744,0.01151,0.1299,False,0.00644
FS,7388,pfx_z,-0.02047,0.01204,0.08904,False,0.00644
FS,7388,release_extension,-0.00331,0.0097,0.73312,False,0.00644
FS,7388,spin_axis,0.00049,0.0002,0.01212,True,0.00644
