pitch_type,n,variable,std_coef,std_err,p_value,significant_p05,r_squared,condition_number
FF,106927,release_speed,-0.00111,0.00181,0.5404,False,0.0012,1.5956
FF,106927,release_spin_rate,0.00159,0.0018,0.37478,False,0.0012,1.5956
FF,106927,pfx_x_adj,0.01115,0.00173,0.0,True,0.0012,1.5956
FF,106927,pfx_z,-0.00045,0.00177,0.80078,False,0.0012,1.5956
FF,106927,release_extension,-0.00329,0.00168,0.04986,True,0.0012,1.5956
FF,106927,spin_axis,-0.01407,0.00174,0.0,True,0.0012,1.5956
SL,46523,release_speed,-0.01034,0.00287,0.00032,True,0.00246,2.00317
SL,46523,release_spin_rate,0.00752,0.00305,0.01377,True,0.00246,2.00317
SL,46523,pfx_x_adj,0.01435,0.00289,0.0,True,0.00246,2.00317
SL,46523,pfx_z,-0.01139,0.00279,4e-05,True,0.00246,2.00317
SL,46523,release_extension,0.00511,0.00271,0.05949,False,0.00246,2.00317
SL,46523,spin_axis,0.01092,0.0027,5e-05,True,0.00246,2.00317
SI,45977,release_speed,-0.00651,0.00279,0.01971,True,0.00115,1.72141
SI,45977,release_spin_rate,0.00295,0.00269,0.27227,False,0.00115,1.72141
SI,45977,pfx_x_adj,0.00702,0.00261,0.00724,True,0.00115,1.72141
SI,45977,pfx_z,0.00712,0.00281,0.01137,True,0.00115,1.72141
SI,45977,release_extension,-0.00223,0.00257,0.3859,False,0.00115,1.72141
SI,45977,spin_axis,-0.013,0.00258,0.0,True,0.00115,1.72141
CH,32642,release_speed,-0.03961,0.0032,0.0,True,0.00836,1.71315
CH,32642,release_spin_rate,0.00028,0.00337,0.9328,False,0.00836,1.71315
CH,32642,pfx_x_adj,-0.0008,0.00336,0.81201,False,0.00836,1.71315
CH,32642,pfx_z,0.00912,0.00316,0.00392,True,0.00836,1.71315
CH,32642,release_extension,0.01155,0.00306,0.00016,True,0.00836,1.71315
CH,32642,spin_axis,-0.01704,0.00319,0.0,True,0.00836,1.71315
FC,22073,release_speed,-0.01832,0.00429,2e-05,True,0.00259,1.97959
FC,22073,release_spin_rate,-0.00508,0.00421,0.22742,False,0.00259,1.97959
FC,22073,pfx_x_adj,0.00698,0.00431,0.10564,False,0.00259,1.97959
FC,22073,pfx_z,-0.01175,0.0041,0.00418,True,0.00259,1.97959
FC,22073,release_extension,-0.00499,0.00381,0.19076,False,0.00259,1.97959
FC,22073,spin_axis,0.00225,0.00411,0.58463,False,0.00259,1.97959
ST,19555,release_speed,0.01578,0.00453,0.0005,True,0.00417,2.08384
ST,19555,release_spin_rate,0.00422,0.00479,0.37738,False,0.00417,2.08384
ST,19555,pfx_x_adj,0.00219,0.00459,0.63316,False,0.00417,2.08384
ST,19555,pfx_z,0.00959,0.0041,0.01918,True,0.00417,2.08384
ST,19555,release_extension,0.0156,0.00424,0.00024,True,0.00417,2.08384
ST,19555,spin_axis,0.03445,0.00433,0.0,True,0.00417,2.08384
CU,14730,release_speed,0.01717,0.00531,0.00122,True,0.00231,2.30928
CU,14730,release_spin_rate,0.00262,0.00601,0.6632,False,0.00231,2.30928
CU,14730,pfx_x_adj,-0.00927,0.00557,0.09625,False,0.00231,2.30928
CU,14730,pfx_z,9e-05,0.0049,0.98613,False,0.00231,2.30928
CU,14730,release_extension,0.00619,0.00486,0.20307,False,0.00231,2.30928
CU,14730,spin_axis,0.01723,0.00473,0.00027,True,0.00231,2.30928
FS,6372,release_speed,-0.03724,0.00775,0.0,True,0.00759,2.24496
FS,6372,release_spin_rate,-0.01089,0.00921,0.23716,False,0.00759,2.24496
FS,6372,pfx_x_adj,0.00392,0.00847,0.64338,False,0.00759,2.24496
FS,6372,pfx_z,-0.01064,0.0076,0.16116,False,0.00759,2.24496
FS,6372,release_extension,0.01405,0.00718,0.05054,False,0.00759,2.24496
FS,6372,spin_axis,-0.00519,0.00769,0.49996,False,0.00759,2.24496
