player_name,pitcher,pitch_type,pitches,avg_velo,avg_spin,avg_spin_axis,avg_pfx_x,avg_pfx_z,avg_extension,avg_release_pos_x,avg_release_pos_z,whiff_rate,called_strike_rate,chase_rate,hard_hit_rate,xwoba_on_contact,xba_on_contact
"Abbott, Andrew",671096,CH,526,84.822,1984.034,133.152,1.264,0.851,6.305,2.573,6.03,0.129,0.082,0.249,0.053,0.307,0.312
"Abbott, Andrew",671096,CU,308,80.565,2790.958,306.276,-0.724,-0.322,6.216,2.477,6.145,0.078,0.25,0.084,0.055,0.272,0.306
"Abbott, Andrew",671096,FC,115,88.649,2523.861,185.478,-0.043,0.704,6.31,2.536,6.024,0.139,0.078,0.157,0.13,0.386,0.335
"Abbott, Andrew",671096,FF,1263,92.783,2274.95,146.166,0.757,1.349,6.332,2.529,5.986,0.081,0.204,0.112,0.078,0.303,0.304
"Abbott, Andrew",671096,ST,465,82.67,2791.342,290.615,-0.995,0.207,6.321,2.517,6.034,0.181,0.101,0.17,0.062,0.248,0.29
"Abel, Mick",690953,CU,154,82.662,2671.669,49.883,0.818,-0.798,6.791,-1.645,5.623,0.143,0.195,0.169,0.078,0.212,0.365
"Abel, Mick",690953,FF,303,96.442,2544.475,217.733,-0.696,1.349,6.752,-1.701,5.666,0.119,0.129,0.119,0.066,0.418,0.366
"Abreu, Bryan",650556,FF,594,97.296,2314.106,214.158,-0.546,1.383,6.634,-2.403,5.546,0.152,0.133,0.116,0.057,0.295,0.341
"Abreu, Bryan",650556,SL,576,86.496,2923.062,53.658,0.703,-0.507,6.492,-2.588,5.741,0.214,0.191,0.21,0.073,0.279,0.368
"Adam, Jason",592094,CH,363,88.164,2039.507,231.769,-1.344,0.298,6.322,-1.093,6.376,0.165,0.096,0.185,0.077,0.239,0.241
"Adam, Jason",592094,FF,247,94.593,2586.425,210.547,-0.674,1.559,6.508,-0.977,6.435,0.085,0.138,0.198,0.077,0.277,0.264
"Adam, Jason",592094,SL,382,83.948,2602.702,69.717,0.12,-0.154,6.38,-1.078,6.387,0.188,0.209,0.139,0.068,0.286,0.357
"Adams, Travis",701519,CH,111,87.381,1942.703,234.568,-1.275,0.404,6.257,-1.933,5.689,0.126,0.108,0.18,0.045,0.316,0.348
"Adams, Travis",701519,FC,123,90.835,2513.203,173.797,0.406,0.673,6.123,-2.146,5.973,0.106,0.163,0.138,0.114,0.541,0.463
"Adams, Travis",701519,FF,195,94.765,2409.928,213.621,-0.44,1.274,6.216,-2.032,5.927,0.123,0.164,0.103,0.082,0.337,0.387
"Adams, Travis",701519,SL,133,85.623,2325.286,101.323,0.431,-0.009,6.323,-2.266,5.743,0.105,0.12,0.15,0.09,0.342,0.302
"Agnos, Zach",688642,FC,176,92.669,2323.659,202.92,0.082,0.608,6.033,-1.872,5.862,0.097,0.119,0.125,0.097,0.432,0.332
"Agnos, Zach",688642,FF,155,95.825,2364.129,214.452,-0.68,1.225,6.116,-1.635,5.954,0.09,0.123,0.084,0.11,0.395,0.305
